출처,작성자,날짜,내용,공감,답글수,원댓글ID
뉴스,@user-hc5iq7gk1k,2023-07-22 11:17:47,"디즈니면 흑인 심청이었겠지 ㅋㅋㅋㅋㅋ
저게 어딜봐서 디즈니 느낌임?",0,,UgwBQSlRnvcP3ZPhSUJ4AaABAg
뉴스,@user-cy2vs7jn4w,2023-07-22 11:18:05,디즈니가 했으면 심청이가 흑인으로 나왔겠지.,0,,UgwBn6s6X1vxUy_Jl4J4AaABAg
뉴스,@user-in2sl9lv7g,2023-07-22 11:17:53,심청이가 아니라 뭔 유관순이냐,0,,UgwCMJpQdRwZqKe_eYZ4AaABAg
뉴스,@TTT-V,2023-07-22 11:17:47,"한국은 4차산업에 대비해서 
컨텐츠로 먹고 사는 나라가 되어야 한다",0,,UgwCRReWq14aMeJDh7d4AaABAg
뉴스,@dongding7635,2023-07-22 11:17:59,겨울왕국copy,0,,UgwCZcVfUuJhtJdcled4AaABAg
뉴스,@kunsikpark4665,,한국 전래동화를 디즈니처럼 만들면 그것도 한류가 될듯,0,,UgwC_1H2z7tVvJNJG_x4AaABAg
뉴스,@user-vj4vs4rs7d,2023-07-22 11:18:06,흥부놀부가자!,0,,UgwCdLgtBy6eI8B4O7d4AaABAg
뉴스,@user-vk9de1kb5i,2023-07-22 11:17:50,꼭 디즈니만 바라볼게 아니라 우리 나라에서 심청전 애니가 제작되어 나오면 좋겠네요. 잘 만들어서 ott에도 대박나면 굿이겠지요,2,,UgwCssdTsVdQAdrXfV54AaABAg
뉴스,@theronic6135,2023-07-22 11:17:49,개인이 이정도인데 150억들인 K-버추얼 가수는 왜 그지랄 나는거임 ㅋㅋ,0,,UgwCyEIwuV4IxaJhxkl4AaABAg
뉴스,@user-mf1nb3gh3g,,음악이 좀 아쉽다. 한국 전통 음악의 요소가 들어가면 더 좋았음듯 ㅡㅠㅡ 글고 표현이 넘 즐겁게 뛰어듬. ㅎㅎㅎㅎㅎ 아버지를 위해 뛰어드는 애절한 효녀의 마음은 1도 안느껴짐. 그냥 바다수영 하러 보트타고 온 느낌. ㅎㅎㅎㅎㅎ 그래도 그래픽은 진짜 잘 만들었다.,1,,UgwD6cCHGrqPOJRAteh4AaABAg
